Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BD4HFR9,HD Hyundai Electric Co Ltd,267260,0.01%,Heavy Electrical Equipment,KR,---,"$12,444,930.56","17,770"
,6493745,Kirin Holdings Co Ltd,2503,0.01%,Brewers,JP,---,"$12,415,352.82","729,500"
,BGLP232,Moncler SpA,MONC,0.01%,"Apparel, Accessories & Luxury Goods",IT,---,"$12,413,733.03","191,502"
,BW1YVH8,Wal-Mart de Mexico SAB de CV,WALMEX*,0.01%,Consumer Staples Merchandise Retail,MX,---,"$12,408,493.49","4,105,459"
,2756174,RPM International Inc,RPM,0.01%,Specialty Chemicals,US,---,"$12,394,887.02","116,966"
,BNBNSG0,Euronext NV,ENX,0.01%,Financial Exchanges & Data,FR,---,"$12,341,792.20","75,945"
,2896092,Toll Brothers Inc,TOL,0.01%,Homebuilding,US,---,"$12,314,959.14","88,891"
,6672481,Wistron Corp,3231,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$12,300,876.60","2,457,152"
,4682329,Pernod Ricard SA,RI,0.01%,Distillers & Vintners,FR,---,"$12,284,864.06","166,761"
,5962280,Chocoladefabriken Lindt & Spruengli AG,LISP,0.01%,Packaged Foods & Meats,CH,---,"$12,283,739.76","1,031"
,0182663,Diploma PLC,DPLM,0.01%,Trading Companies & Distributors,GB,---,"$12,276,870.07","130,916"
,6621580,Nan Ya Plastics Corp,1303,0.01%,Commodity Chemicals,TW,---,"$12,272,157.66","3,934,545"
,6195609,Chubu Electric Power Co Inc,9502,0.01%,Electric Utilities,JP,---,"$12,262,213.97","667,870"
,BYMWL86,TransUnion,TRU,0.01%,Research & Consulting Services,US,---,"$12,262,092.24","171,354"
,6483489,Kansai Electric Power Co Inc/The,9503,0.01%,Electric Utilities,JP,---,"$12,257,209.27","836,400"
,6433912,E.Sun Financial Holding Co Ltd,2884,0.01%,Diversified Banks,TW,---,"$12,239,674.80","12,383,405"
,B0PB4M7,Link REIT,823,0.01%,Retail REITs,HK,---,"$12,221,991.29","2,370,988"
,6444066,Mega Financial Holding Co Ltd,2886,0.01%,Diversified Banks,TW,---,"$12,220,479.47","9,573,973"
,2433842,Unum Group,UNM,0.01%,Life & Health Insurance,US,---,"$12,194,276.99","146,513"
,6585084,Suncorp Group Ltd,SUN,0.01%,Property & Casualty Insurance,AU,---,"$12,192,180.78","977,655"
,2093644,W R Berkley Corp,WRB,0.01%,Property & Casualty Insurance,US,---,"$12,168,608.94","191,511"
,BSTRB82,Kongsberg Gruppen ASA,KOG,0.01%,Aerospace & Defense,NO,---,"$12,160,771.64","339,486"
,5978384,Telia Co AB,TELIA,0.01%,Integrated Telecommunication Services,SE,---,"$12,160,236.96","2,268,672"
,6531827,Geely Automobile Holdings Ltd,175,0.01%,Automobile Manufacturers,HK,---,"$12,151,167.66","5,063,200"
,6767677,Enlight Renewable Energy Ltd,ENLT,0.01%,Renewable Electricity,IL,---,"$12,145,498.27","113,360.6"
,B28XXH2,Adani Ports & Special Economic Zone Ltd,ADSEZ,0.01%,Marine Ports & Services,IN,---,"$12,120,103.65","638,447"
,B86S2N0,Ageas SA/NV,AGS,0.01%,Multi-line Insurance,BE,---,"$12,113,415.48","156,339"
,BJ2L575,CGI Inc,GIB/A,0.01%,IT Consulting & Other Services,CA,---,"$12,045,458.01","172,481"
,2384951,Great-West Lifeco Inc,GWO,0.01%,Life & Health Insurance,CA,---,"$12,039,105.15","206,234"
,B16CYP9,RELIANCE INDS-SPONS GDR 144A,RIGD,0.01%,Oil & Gas Refining & Marketing,GB,GDR,"$12,028,901.81","215,065"
,B1W9D46,Delta Air Lines Inc,DAL,0.01%,Passenger Airlines,US,---,"$12,016,676.16","145,692"
,BRB3857,Hua Hong Semiconductor Ltd,1347,0.01%,Semiconductors,HK,---,"$12,016,501.00","583,084"
,7156036,Sonova Holding AG,SOON,0.01%,Health Care Equipment,CH,---,"$11,994,279.25","45,438"
,B4V9661,Ralph Lauren Corp,RL,0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$11,981,407.50","32,925"
,BN6PP37,Pop Mart International Group Ltd,9992,0.01%,Other Specialty Retail,HK,---,"$11,923,713.52","541,000"
,7251470,Snam SpA,SRG,0.01%,Gas Utilities,IT,---,"$11,920,540.58","1,631,055"
,6054409,Asahi Group Holdings Ltd,2502,0.01%,Brewers,JP,---,"$11,910,679.49","1,248,156"
,BZ00V34,Zscaler Inc,ZS,0.01%,Systems Software,US,---,"$11,899,825.99","85,163"
,BD594Y4,Siemens Healthineers AG,SHL,0.01%,Health Care Equipment,DE,---,"$11,864,124.00","292,036"
,BQPCHB2,Permian Resources Corp,PR,0.01%,Oil & Gas Exploration & Production,US,---,"$11,863,640.82","616,934"
,2583952,Metro Inc/CN,MRU,0.01%,Food Retail,CA,---,"$11,848,043.06","184,631"
,2909644,Tyler Technologies Inc,TYL,0.01%,Application Software,US,---,"$11,830,180.70","37,778"
,2598354,Modine Manufacturing Co,MOD,0.01%,Building Products,US,---,"$11,819,369.07","42,377"
,6455819,International Container Terminal Services Inc,ICT,0.01%,Marine Ports & Services,PH,---,"$11,786,692.31","964,660"
,2556868,Everest Group Ltd,EG,0.01%,Reinsurance,US,---,"$11,770,065.72","36,324"
,6043214,Singapore Technologies Engineering Ltd,STE,0.01%,Aerospace & Defense,SG,---,"$11,754,935.97","1,317,300"
,2576941,Exelixis Inc,EXEL,0.01%,Biotechnology,US,---,"$11,726,302.08","232,296"
,6519481,Lite-On Technology Corp,2301,0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$11,722,598.83","1,587,030"
,BQ7ZV06,Straumann Holding AG,STMN,0.01%,Health Care Equipment,CH,---,"$11,720,950.61","96,991"
,2305844,Revvity Inc,RVTY,0.01%,Life Sciences Tools & Services,US,---,"$11,717,336.70","112,074"
,B2368L5,PLS Group Ltd,PLS,0.01%,Diversified Metals & Mining,AU,---,"$11,707,764.95","2,514,551"
,B01GZF6,UltraTech Cement Ltd,UTCEM,0.01%,Construction Materials,IN,---,"$11,687,671.67","96,746"
,6214861,Origin Energy Ltd,ORG,0.01%,Electric Utilities,AU,---,"$11,687,136.18","1,497,671"
,BMDHSH4,HD Hyundai Heavy Industries Co Ltd,329180,0.01%,Construction Machinery & Heavy Transportation Equipment,KR,---,"$11,682,593.50","25,282"
,2040640,Jones Lang LaSalle Inc,JLL,0.01%,Real Estate Services,US,---,"$11,678,600.08","41,368"
,2202473,Clean Harbors Inc,CLH,0.01%,Environmental & Facilities Services,US,---,"$11,649,817.62","41,454"
,BJV2RD9,Dynatrace Inc,DT,0.01%,Application Software,US,---,"$11,630,477.20","273,080"
,B083BH4,Swiss Prime Site AG,SPSN,0.01%,Real Estate Operating Companies,CH,---,"$11,630,340.44","69,382"
,6858849,Sumitomo Metal Mining Co Ltd,5713,0.01%,Diversified Metals & Mining,JP,---,"$11,627,444.08","205,100"
,B1VQ5C0,Keppel Ltd,KEP,0.01%,Industrial Conglomerates,SG,---,"$11,614,901.85","1,377,313"
,6107585,Gold Circuit Electronics Ltd,2368,0.01%,Electronic Components,TW,---,"$11,609,871.16","278,100"
,BS4DBX0,Shriram Finance Ltd,SHFL,0.01%,Consumer Finance,IN,---,"$11,600,517.33","1,163,753"
,2289841,Dycom Industries Inc,DY,0.01%,Construction & Engineering,US,---,"$11,587,200.00","22,720"
,B6463M8,ARC Resources Ltd,ARX,0.01%,Oil & Gas Exploration & Production,CA,---,"$11,585,765.94","511,782"
,7634394,Telecom Italia SpA/Milano,TIT,0.01%,Integrated Telecommunication Services,IT,---,"$11,574,849.52","13,625,494"
,2609717,Mueller Industries Inc,MLI,0.01%,Industrial Machinery & Supplies & Components,US,---,"$11,569,756.20","89,967"
,6656407,Obayashi Corp,1802,0.01%,Construction & Engineering,JP,---,"$11,533,855.74","568,300"
,6340250,Fisher & Paykel Healthcare Corp Ltd,FPH,0.01%,Health Care Equipment,NZ,---,"$11,518,511.70","516,238"
,2731193,Reinsurance Group of America Inc,RGA,0.01%,Reinsurance,US,---,"$11,504,208.66","57,309"
,2066408,Avery Dennison Corp,AVY,0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$11,496,625.18","72,274"
,B72XK05,Ally Financial Inc,ALLY,0.01%,Consumer Finance,US,---,"$11,485,280.85","268,285"
,2262864,CoStar Group Inc,CSGP,0.01%,Real Estate Services,US,---,"$11,481,232.00","356,560"
,2747305,Rollins Inc,ROL,0.01%,Environmental & Facilities Services,US,---,"$11,478,978.00","241,155"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.01%,Movies & Entertainment,US,---,"$11,474,896.68","55,926"
,B5M6XQ7,International Consolidated Airlines Group SA,IAG,0.01%,Passenger Airlines,GB,---,"$11,472,236.25","1,992,013"
,2730082,Regal Rexnord Corp,RRX,0.01%,Electrical Components & Equipment,US,---,"$11,448,871.20","56,745"
,2795542,Semtech Corp,SMTC,0.01%,Semiconductors,US,---,"$11,445,228.74","75,031"
,B233HS6,Power Grid Corp of India Ltd,PWGR,0.01%,Electric Utilities,IN,---,"$11,444,159.59","3,742,597"
,B7JYSG3,Guidewire Software Inc,GWRE,0.01%,Application Software,US,---,"$11,443,379.85","74,955"
,6303866,Singapore Exchange Ltd,SGX,0.01%,Financial Exchanges & Data,SG,---,"$11,441,843.81","667,410"
,4491235,Kingspan Group PLC,KSP,0.01%,Building Products,IE,---,"$11,435,098.10","125,097"
,B0JDQD4,Bandai Namco Holdings Inc,7832,0.01%,Leisure Products,JP,---,"$11,433,925.85","501,200"
,6390921,Nomura Research Institute Ltd,4307,0.01%,IT Consulting & Other Services,JP,---,"$11,419,206.60","356,469"
,6870100,Taisei Corp,1801,0.01%,Construction & Engineering,JP,---,"$11,400,980.65","130,099"
,2458771,ITAUSA SA - PREFERRED SHARES,ITSA4,0.01%,Diversified Banks,BR,---,"$11,377,265.61","4,442,197"
,B1JB4K8,Symrise AG,SY1,0.01%,Specialty Chemicals,DE,---,"$11,376,138.70","123,765"
,B23FN39,Lululemon Athletica Inc,LULU,0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$11,374,486.62","86,709"
,BSPHGN6,Lamar Advertising Co,LAMR,0.01%,Other Specialized REITs,US,---,"$11,358,270.00","74,500"
,BKRMR96,Equitable Holdings Inc,EQH,0.01%,Diversified Financial Services,US,---,"$11,350,492.30","274,498"
,6641801,Nitto Denko Corp,6988,0.01%,Specialty Chemicals,JP,---,"$11,326,344.63","604,400"
,6193766,China Resources Land Ltd,1109,0.01%,Real Estate Development,HK,---,"$11,321,738.78","2,513,909"
,B1FN8X9,Metso Oyj,METSO,0.01%,Construction Machinery & Heavy Transportation Equipment,FI,---,"$11,306,965.32","592,757"
,2943039,Watsco Inc,WSO,0.01%,Trading Companies & Distributors,US,---,"$11,299,338.00","30,780"
,2043274,Omega Healthcare Investors Inc,OHI,0.01%,Health Care REITs,US,---,"$11,296,187.28","241,578"
,BMD6Y84,Rocket Cos Inc,RKT,0.01%,Commercial & Residential Mortgage Finance,US,---,"$11,271,092.31","776,781"
,B06YV46,Neste Oyj,NESTE,0.01%,Oil & Gas Refining & Marketing,FI,---,"$11,233,224.90","341,643"
,B1BHXZ2,Evercore Inc,EVR,0.01%,Investment Banking & Brokerage,US,---,"$11,214,294.00","32,900"
,BW2K5V7,Solstice Advanced Materials Inc,SOLS,0.01%,Specialty Chemicals,US,---,"$11,210,760.31","133,097"
,B28PFX8,Emirates NBD Bank PJSC,EMIRATES,0.01%,Diversified Banks,AE,---,"$11,203,195.90","1,479,305"
,5263251,KGHM Polska Miedz SA,KGH,0.01%,Copper,PL,---,"$11,148,441.33","115,823"
,BD0BDJ3,PTT PCL/FOREIGN,PTT/F,0.01%,Integrated Oil & Gas,TH,---,"$11,147,023.87","10,005,680"
,6087289,Telstra Group Ltd,TLS,0.01%,Integrated Telecommunication Services,AU,---,"$11,138,243.78","2,974,867"
,BH3XG17,Aramark,ARMK,0.01%,Restaurants,US,---,"$11,118,733.72","208,294"
,2989356,Zebra Technologies Corp,ZBRA,0.01%,Electronic Equipment & Instruments,US,---,"$11,118,542.31","45,637"
,5076705,HENKEL AG & CO KGAA VOR-PREF,HEN3,0.01%,Household Products,DE,---,"$11,099,657.53","143,001"
,2897103,Toromont Industries Ltd,TIH,0.01%,Trading Companies & Distributors,CA,---,"$11,094,962.84","67,268"
,BM8JV32,Planet Labs PBC,PL,0.01%,Research & Consulting Services,US,---,"$11,092,266.00","216,900"
,6743882,Japan Exchange Group Inc,8697,0.01%,Financial Exchanges & Data,JP,---,"$11,089,911.96","907,800"
,6728469,Phison Electronics Corp,8299,0.01%,Semiconductors,TW,---,"$11,084,720.89","137,733"
,BPMQ7X2,Annaly Capital Management Inc,NLY,0.01%,Mortgage REITs,US,---,"$11,082,866.25","507,225"
,B3Q2FJ4,Stanley Black & Decker Inc,SWK,0.01%,Industrial Machinery & Supplies & Components,US,---,"$11,081,154.92","139,526"
,BVLKBV3,Piraeus Bank SA,TPEIR,0.01%,Diversified Banks,GR,---,"$11,035,048.95","1,040,068"
,0922320,Smith & Nephew PLC,SN/,0.01%,Health Care Equipment,GB,---,"$11,032,736.53","740,181"
,B60QWJ2,JAMES HARDIE INDUSTRIES-CDI,JHX,0.01%,Construction Materials,AU,CDI,"$11,027,954.47","486,720"
,6271026,Insurance Australia Group Ltd,IAG,0.01%,Property & Casualty Insurance,AU,---,"$11,023,785.75","2,005,658"
,5852842,Accor SA,AC,0.01%,"Hotels, Resorts & Cruise Lines",FR,---,"$11,002,209.98","201,994"
,B39J2M4,United Utilities Group PLC,UU/,0.01%,Water Utilities,GB,---,"$10,986,491.38","607,866"
,B92RRW2,Sanmina Corp,SANM,0.01%,Electronic Manufacturing Services,US,---,"$10,959,567.08","42,196"
,6543770,JX Advanced Metals Corp,5016,0.01%,Diversified Metals & Mining,JP,---,"$10,952,309.20","443,725"
,B00FM53,BANCO BRADESCO SA-PREF,BBDC4,0.01%,Diversified Banks,BR,---,"$10,937,989.83","3,117,358"
,2728429,RenaissanceRe Holdings Ltd,RNR,0.01%,Reinsurance,US,---,"$10,927,482.30","38,978"
,BYQBFT8,Nutanix Inc,NTNX,0.01%,Application Software,US,---,"$10,926,837.43","209,849"
,B1FFT76,Impala Platinum Holdings Ltd,IMP,0.01%,Precious Metals & Minerals,ZA,---,"$10,913,259.21","765,818"
,B39Z8G8,LG Innotek Co Ltd,011070,0.01%,Electronic Components,KR,---,"$10,908,187.25","11,254"
,BV2DVP5,Adani Power Ltd,ADANI,0.01%,Independent Power Producers & Energy Traders,IN,---,"$10,890,065.23","4,251,581"
,BW9DW63,Eurobank SA,EUROB,0.01%,Diversified Banks,GR,---,"$10,877,840.00","2,335,470"
,6643960,Nippon Yusen KK,9101,0.01%,Marine Transportation,JP,---,"$10,872,434.93","326,300"
,6716538,Taiwan Union Technology Corp,6274,0.01%,Electronic Components,TW,---,"$10,869,607.51","206,000"
,6356365,Fuji Electric Co Ltd,6504,0.01%,Electrical Components & Equipment,JP,---,"$10,867,209.90","111,977"
,2945143,Webster Financial Corp,WBS,0.01%,Regional Banks,US,---,"$10,867,131.36","149,438"
,BLS09M3,Pentair PLC,PNR,0.01%,Industrial Machinery & Supplies & Components,US,---,"$10,864,589.12","153,368"
,BDJ0LS6,Ionis Pharmaceuticals Inc,IONS,0.01%,Biotechnology,US,---,"$10,863,153.00","142,002"
,B4Q5ZN4,Jazz Pharmaceuticals PLC,JAZZ,0.01%,Pharmaceuticals,US,---,"$10,847,086.83","45,867"
,BJ2KSG2,Akzo Nobel NV,AKZA,0.01%,Specialty Chemicals,NL,---,"$10,809,584.46","142,428"
,2727910,UDR Inc,UDR,0.01%,Multi-Family Residential REITs,US,---,"$10,800,224.10","292,689"
,BMW4NZ9,Roivant Sciences Ltd,ROIV,0.01%,Biotechnology,US,---,"$10,798,499.30","360,070"
,B1324D0,Saudi Basic Industries Corp,SABIC,0.01%,Commodity Chemicals,SA,---,"$10,795,390.00","718,017"
,6744294,T&D Holdings Inc,8795,0.01%,Life & Health Insurance,JP,---,"$10,795,000.40","410,400"
,6793906,Sekisui House Ltd,1928,0.01%,Homebuilding,JP,---,"$10,785,371.09","513,700"
,2414580,Hasbro Inc,HAS,0.01%,Leisure Products,US,---,"$10,769,095.75","124,975"
,6180412,Computershare Ltd,CPU,0.01%,Data Processing & Outsourced Services,AU,---,"$10,768,810.51","434,592"
,B033F22,Centrica PLC,CNA,0.01%,Multi-Utilities,GB,---,"$10,767,960.42","4,268,395"
,BFFJRM7,Zhongji Innolight Co Ltd,300308,0.01%,Communications Equipment,CN,---,"$10,751,380.80","63,100"
,6895448,Tokyo Gas Co Ltd,9531,0.01%,Gas Utilities,JP,---,"$10,738,451.73","268,600"
,BFPK4S5,Gaming and Leisure Properties Inc,GLPI,0.01%,Other Specialized REITs,US,---,"$10,735,463.20","228,560"
,BNBRDD4,Fidelity National Financial Inc,FNF,0.01%,Property & Casualty Insurance,US,---,"$10,725,485.25","226,515"
,6706250,PICC Property & Casualty Co Ltd,2328,0.01%,Property & Casualty Insurance,HK,---,"$10,679,939.26","5,754,330"
,BZ0P3W2,TopBuild Corp,BLD,0.01%,Homebuilding,US,---,"$10,677,051.00","25,575"
,BL98841,Rivian Automotive Inc,RIVN,0.01%,Automobile Manufacturers,US,---,"$10,658,928.60","653,922"
,BJ2ZH37,iA Financial Corp Inc,IAG,0.01%,Life & Health Insurance,CA,---,"$10,651,037.00","85,432"
,6294896,HCL Technologies Ltd,HCLT,0.01%,IT Consulting & Other Services,IN,---,"$10,637,684.71","851,460"
,BGHWH98,Woori Financial Group Inc,316140,0.01%,Diversified Banks,KR,---,"$10,629,667.51","537,483"
,BFRT3W7,Allegion plc,ALLE,0.01%,Building Products,US,---,"$10,612,411.30","81,590"
,6472119,Jardine Matheson Holdings Ltd,JM,0.01%,Industrial Conglomerates,SG,---,"$10,596,064.29","159,462"
,BQPDXR3,Cooper Cos Inc/The,COO,0.01%,Health Care Supplies,US,---,"$10,572,986.93","172,733"
,BNNF1C1,Apa Corp,APA,0.01%,Oil & Gas Exploration & Production,US,---,"$10,556,029.66","289,762"
,5271782,Endesa SA,ELE,0.01%,Electric Utilities,ES,---,"$10,534,180.87","251,960"
,BP6D7B7,Toast Inc,TOST,0.01%,Transaction & Payment Processing Services,US,---,"$10,527,156.72","404,424"
,B40SSC9,Huntington Ingalls Industries Inc,HII,0.01%,Aerospace & Defense,US,---,"$10,508,288.83","34,099"
,B1VSK54,Industrivarden AB,INDUC,0.01%,Multi-Sector Holdings,SE,---,"$10,508,155.37","192,175"
,BZBZVC7,Banco BTG Pactual SA,BPAC11,0.01%,Diversified Capital Markets,BR,---,"$10,507,213.73","986,124"
,2945422,WEG SA,WEGE3,0.01%,Electrical Components & Equipment,BR,---,"$10,496,299.17","1,200,660"
,2550161,McCormick & Co Inc/MD,MKC,0.01%,Packaged Foods & Meats,US,---,"$10,478,244.00","221,200"
,BL6K5J4,Endeavour Mining PLC,EDV,0.01%,Gold,GB,---,"$10,471,759.01","170,365"
,BYZQ077,CK Asset Holdings Ltd,1113,0.01%,Real Estate Development,HK,---,"$10,464,717.65","1,733,250"
,BD83175,Hyosung Heavy Industries Corp,298040,0.01%,Heavy Electrical Equipment,KR,---,"$10,452,124.86","4,264"
,BL6K237,Circle Internet Group Inc,CRCL,0.01%,Application Software,US,---,"$10,440,296.00","92,392"
,BKFB1C6,M&G PLC,MNG,0.01%,Diversified Financial Services,GB,---,"$10,410,528.01","2,456,263"
,BKRTG56,Carlyle Group Inc/The,CG,0.01%,Asset Management & Custody Banks,US,---,"$10,401,607.37","228,959"
,2563125,Equity LifeStyle Properties Inc,ELS,0.01%,Single-Family Residential REITs,US,---,"$10,384,895.94","168,122"
,2425258,Wintrust Financial Corp,WTFC,0.01%,Regional Banks,US,---,"$10,383,296.68","69,116"
,B11TCY0,Schindler Holding AG,SCHP,0.01%,Industrial Machinery & Supplies & Components,CH,---,"$10,358,195.68","30,769"
,2437071,BioMarin Pharmaceutical Inc,BMRN,0.01%,Biotechnology,US,---,"$10,356,828.91","180,779"
,2204026,Clorox Co/The,CLX,0.01%,Household Products,US,---,"$10,342,487.82","114,891"
,6251448,Daiwa Securities Group Inc,8601,0.01%,Investment Banking & Brokerage,JP,---,"$10,335,671.30","1,098,000"
,B1YCHL8,Cia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.01%,Water Utilities,BR,---,"$10,287,716.21","1,856,776.344"
,BYYN701,Poste Italiane SpA,PST,0.01%,Diversified Financial Services,IT,---,"$10,272,199.65","347,846"
,2331430,Assurant Inc,AIZ,0.01%,Property & Casualty Insurance,US,---,"$10,271,860.38","41,274"
,B8C3BL0,Sage Group PLC/The,SGE,0.01%,Application Software,GB,---,"$10,264,522.08","907,378"
,BJ2Z0H2,Pinterest Inc,PINS,0.01%,Interactive Media & Services,US,---,"$10,239,595.15","510,703"
,B1YVKN8,ANTA Sports Products Ltd,2020,0.01%,"Apparel, Accessories & Luxury Goods",HK,---,"$10,229,524.98","1,058,200"
,2726177,Regency Centers Corp,REG,0.01%,Retail REITs,US,---,"$10,215,691.85","132,071"
,6121176,Lynas Rare Earths Ltd,LYC,0.01%,Diversified Metals & Mining,AU,---,"$10,208,992.97","742,554"
,BCRWL65,Asian Paints Ltd,APNT,0.01%,Specialty Chemicals,IN,---,"$10,208,731.70","362,861"
,6619604,Niterra Co Ltd,5334,0.01%,Automotive Parts & Equipment,JP,---,"$10,202,567.07","160,000"
,B85KFY9,Five Below Inc,FIVE,0.01%,Other Specialty Retail,US,---,"$10,168,221.28","44,723"
,2372763,Gartner Inc,IT,0.01%,IT Consulting & Other Services,US,---,"$10,147,069.80","62,559"
,6446620,HD Korea Shipbuilding & Offshore Engineering Co Ltd,009540,0.01%,Construction Machinery & Heavy Transportation Equipment,KR,---,"$10,139,716.44","36,109"
,BNSP8W5,LG Energy Solution Ltd,373220,0.01%,Electrical Components & Equipment,KR,---,"$10,110,554.84","33,301"
,B6SW913,CubeSmart,CUBE,0.01%,Self-Storage REITs,US,---,"$10,109,960.00","252,749"
,BN7P9B2,Federal Realty Investment Trust,FRT,0.01%,Retail REITs,US,---,"$10,106,820.92","84,484"
,BMD58R8,Epiroc AB,EPIA,0.01%,Construction Machinery & Heavy Transportation Equipment,SE,---,"$10,082,095.01","340,802"
,B033TJ7,Texas Roadhouse Inc,TXRH,0.01%,Restaurants,US,---,"$10,081,305.30","55,815"
,BKZ7N95,Onto Innovation Inc,ONTO,0.01%,Semiconductor Materials & Equipment,US,---,"$10,078,332.48","39,027"
,BVFC8Q9,Thomson Reuters Corp,TRI,0.01%,Research & Consulting Services,CA,---,"$10,066,713.42","116,099"
,BWFRFC6,GoDaddy Inc,GDDY,0.01%,Internet Services & Infrastructure,US,---,"$10,066,485.72","117,284"
,6758455,Ryohin Keikaku Co Ltd,7453,0.01%,Broadline Retail,JP,---,"$10,061,172.56","411,940"
,2455761,EastGroup Properties Inc,EGP,0.01%,Industrial REITs,US,---,"$10,057,137.10","49,810"
,BSQCB24,State Bank of India,SBIN,0.01%,Diversified Banks,IN,---,"$10,055,633.28","990,730"
,6291819,China Petroleum & Chemical Corp,386,0.01%,Integrated Oil & Gas,HK,---,"$10,052,987.32","18,237,337"
,B056381,Global Unichip Corp,3443,0.01%,Semiconductors,TW,---,"$10,033,194.94","68,000"
,6916703,Mizrahi Tefahot Bank Ltd,MZTF,0.01%,Diversified Banks,IL,---,"$10,029,468.49","130,893"
,2982399,Saia Inc,SAIA,0.01%,Cargo Ground Transportation,US,---,"$10,002,907.12","21,176"
,6287841,Chunghwa Telecom Co Ltd,2412,0.01%,Integrated Telecommunication Services,TW,---,"$9,978,575.73","2,281,000"
,6378217,LS Electric Co Ltd,010120,0.01%,Electrical Components & Equipment,KR,---,"$9,976,737.84","61,905"
,BLDDH12,DraftKings Inc,DKNG,0.01%,Casinos & Gaming,US,---,"$9,970,319.82","407,118"
,B97C733,Tele2 AB,TEL2B,0.01%,Wireless Telecommunication Services,SE,---,"$9,965,046.32","530,815"
,2679204,Align Technology Inc,ALGN,0.01%,Health Care Supplies,US,---,"$9,961,653.00","56,940"
,BFZNZF8,BJ's Wholesale Club Holdings Inc,BJ,0.01%,Consumer Staples Merchandise Retail,US,---,"$9,916,443.68","116,281"
,2918510,UMB Financial Corp,UMBF,0.01%,Regional Banks,US,---,"$9,912,098.90","75,515"
,6283601,Nanya Technology Corp,2408,0.01%,Semiconductors,TW,---,"$9,909,766.78","913,324"
,2951452,J M Smucker Co/The,SJM,0.01%,Packaged Foods & Meats,US,---,"$9,908,232.00","96,010"
,6661768,Osaka Gas Co Ltd,9532,0.01%,Gas Utilities,JP,---,"$9,903,285.15","294,700"
,2632003,New York Times Co/The,NYT,0.01%,Publishing,US,---,"$9,872,515.86","131,266"
,BF0LKD0,Knight-Swift Transportation Holdings Inc,KNX,0.01%,Cargo Ground Transportation,US,---,"$9,858,824.28","130,356"
,BK6YKG1,Globe Life Inc,GL,0.01%,Life & Health Insurance,US,---,"$9,854,098.20","64,305"
,5474008,Bankinter SA,BKT,0.01%,Diversified Banks,ES,---,"$9,844,040.86","585,932"
,2181334,Check Point Software Technologies Ltd,CHKP,0.01%,Systems Software,US,---,"$9,830,829.70","72,794"
,2341484,First Horizon Corp,FHN,0.01%,Regional Banks,US,---,"$9,821,606.27","405,349"
,BZ6VT82,Charter Communications Inc,CHTR,0.01%,Cable & Satellite,US,---,"$9,819,600.40","68,168"
,4557104,GEA Group AG,G1A,0.01%,Industrial Machinery & Supplies & Components,DE,---,"$9,805,166.68","152,106"
,6175076,KT&G Corp,033780,0.01%,Tobacco,KR,---,"$9,803,654.32","80,262"
,BZBYJJ7,JSW Steel Ltd,JSTL,0.01%,Steel,IN,---,"$9,800,400.09","728,554"
,BF5L3T2,Elanco Animal Health Inc,ELAN,0.01%,Pharmaceuticals,US,---,"$9,796,292.10","410,746"
,6525875,SinoPac Financial Holdings Co Ltd,2890,0.01%,Diversified Banks,TW,---,"$9,776,596.66","10,208,447"
,BQQ8816,Hut 8 Corp,HUT,0.01%,Application Software,US,---,"$9,770,319.27","78,269"
,BZ0V201,Penumbra Inc,PEN,0.01%,Health Care Equipment,US,---,"$9,758,441.40","30,658"
,BNGHNG2,Kokusai Electric Corp,6525,0.01%,Semiconductor Materials & Equipment,JP,---,"$9,749,295.83","189,500"
,6897143,Toray Industries Inc,3402,0.01%,Commodity Chemicals,JP,---,"$9,739,448.56","1,302,800"
,6619507,NGK Corp,5333,0.01%,Industrial Machinery & Supplies & Components,JP,---,"$9,715,540.90","245,300"
,6412591,ADVANCED INFO SERVICE-FOREIG,ADVANC/F,0.01%,Wireless Telecommunication Services,TH,---,"$9,701,782.27","895,700"
,BVDCQB2,SOUTHSTATE BANK CORP,SSB,0.01%,Regional Banks,US,---,"$9,683,071.00","102,196"
,BDRXBF4,TFI International Inc,TFII,<0.01%,Cargo Ground Transportation,CA,---,"$9,673,148.89","62,704"
,B0CC0M5,Innolux Corp,3481,<0.01%,Electronic Components,TW,---,"$9,666,438.42","5,999,916"
,B0744B3,Bunzl PLC,BNZL,<0.01%,Trading Companies & Distributors,GB,---,"$9,664,280.28","305,675"
,BG7ZWY7,Ambev SA,ABEV3,<0.01%,Brewers,BR,---,"$9,653,088.07","2,983,792"
,BP6FB33,XPeng Inc,9868,<0.01%,Automobile Manufacturers,HK,---,"$9,642,214.08","1,185,428"
,B1FH8J7,Severn Trent PLC,SVT,<0.01%,Water Utilities,GB,---,"$9,641,312.68","241,795"
