Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,7123870,Nestle SA,NESN,0.22%,Packaged Foods & Meats,CH,---,"$212,570,990.93","2,095,039"
,2480138,KLA Corp,KLAC,0.21%,Semiconductor Materials & Equipment,US,---,"$205,884,322.56","107,136"
,BSNPZV3,SANDISK CORP,SNDK,0.20%,"Technology Hardware, Storage & Peripherals",US,---,"$197,549,919.00","116,550"
,BP6MXD8,Shell PLC,SHEL,0.20%,Integrated Oil & Gas,GB,---,"$195,263,664.59","4,621,040"
,2649100,Wells Fargo & Co,WFC,0.20%,Diversified Banks,US,---,"$195,259,909.82","2,518,183"
,BM5M5Y3,RTX Corp,RTX,0.20%,Aerospace & Defense,US,---,"$195,147,230.98","1,086,203"
,2262314,Morgan Stanley,MS,0.20%,Investment Banking & Brokerage,US,---,"$191,481,888.00","920,586"
,BNZHB81,Linde PLC,LIN,0.20%,Industrial Gases,US,---,"$189,250,604.02","380,258"
,5727973,Siemens AG,SIE,0.19%,Industrial Conglomerates,DE,---,"$187,396,610.16","597,680"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.19%,Systems Software,US,---,"$183,593,147.64","651,756"
,6144690,BHP Group Ltd,BHP,0.18%,Diversified Metals & Mining,AU,---,"$177,502,796.95","3,987,182"
,6335171,Mitsubishi UFJ Financial Group Inc,8306,0.17%,Diversified Banks,JP,---,"$167,978,702.71","8,937,960"
,2297907,Citigroup Inc,C,0.17%,Diversified Banks,US,---,"$166,071,794.30","1,319,077"
,2032067,Analog Devices Inc,ADI,0.17%,Semiconductors,US,---,"$164,413,086.45","397,277"
,6900643,Toyota Motor Corp,7203,0.17%,Automobile Manufacturers,JP,---,"$163,814,802.60","8,659,340"
,2090571,Verizon Communications Inc,VZ,0.17%,Integrated Telecommunication Services,US,---,"$163,739,066.47","3,424,787"
,6372480,MediaTek Inc,2454,0.17%,Semiconductors,TW,---,"$162,434,621.37","1,194,798"
,2550707,McDonald's Corp,MCD,0.17%,Restaurants,US,---,"$161,798,075.20","579,506"
,6215035,Commonwealth Bank of Australia,CBA,0.17%,Diversified Banks,AU,---,"$161,320,042.00","1,361,175"
,2681511,PepsiCo Inc,PEP,0.17%,Soft Drinks & Non-alcoholic Beverages,US,---,"$160,249,449.63","1,111,377"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.16%,"Technology Hardware, Storage & Peripherals",US,---,"$155,977,982.40","177,288"
,2897222,Toronto-Dominion Bank/The,TD,0.16%,Diversified Banks,CA,---,"$155,098,005.84","1,355,473"
,4846288,SAP SE,SAP,0.16%,Application Software,DE,---,"$151,337,694.39","836,608"
,2886907,Thermo Fisher Scientific Inc,TMO,0.16%,Life Sciences Tools & Services,US,---,"$150,757,311.00","306,100"
,6770620,SoftBank Group Corp,9984,0.16%,Wireless Telecommunication Services,JP,---,"$150,222,231.28","3,193,360"
,5705946,Banco Santander SA,SAN,0.15%,Diversified Banks,ES,---,"$148,370,682.76","11,864,111"
,2145084,Amphenol Corp,APH,0.15%,Electronic Components,US,---,"$147,569,473.72","991,997"
,2328915,NextEra Energy Inc,NEE,0.15%,Electric Utilities,US,---,"$147,560,171.99","1,695,899"
,2023607,Amgen Inc,AMGN,0.15%,Biotechnology,US,---,"$147,218,318.38","437,122"
,2954699,Western Digital Corp,WDC,0.15%,"Technology Hardware, Storage & Peripherals",US,---,"$147,156,856.62","277,022"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.15%,Systems Software,US,---,"$147,003,369.00","201,099"
,2270726,Walt Disney Co/The,DIS,0.15%,Movies & Entertainment,US,---,"$146,956,880.97","1,443,159"
,2108601,Boeing Co/The,BA,0.15%,Aerospace & Defense,US,---,"$142,182,676.50","615,110"
,2310525,Salesforce Inc,CRM,0.15%,Application Software,US,---,"$141,521,780.40","740,564"
,BNKJSM5,Marvell Technology Inc,MRVL,0.15%,Semiconductors,US,---,"$141,389,935.00","689,707"
,2989301,TJX Cos Inc/The,TJX,0.14%,Apparel Retail,US,---,"$140,045,964.50","904,982"
,2831811,AT&T Inc,T,0.14%,Integrated Telecommunication Services,US,---,"$139,136,506.40","5,610,343"
,4834108,Schneider Electric SE,SU,0.14%,Electrical Components & Equipment,FR,---,"$138,873,085.14","442,154"
,2026082,American Express Co,AXP,0.14%,Consumer Finance,US,---,"$138,544,553.07","437,781"
,5231485,Allianz SE,ALV,0.14%,Multi-line Insurance,DE,---,"$136,703,795.65","308,478"
,2369174,Gilead Sciences Inc,GILD,0.14%,Biotechnology,US,---,"$135,902,411.79","1,010,953"
